
--- [START 2018-08-24_02-09-29] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
	pretrain_file = /root/share/project/kaggle/tgs/results/unet-5-scale/fold3/initial/00100000_model.pth

--- [START 2018-08-24_02-09-57] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   10.8    96.0  |  0.054  0.944  (0.780) |  0.014  0.980  |  0.011  0.982  |  0 hr 51 min 
0.0100   10.9    96.9  |  0.064  0.944  (0.782) |  0.012  0.983  |  0.010  0.986  |  0 hr 51 min 
0.0100   11.0    97.8  |  0.061  0.941  (0.763) |  0.011  0.984  |  0.007  0.991  |  0 hr 52 min 
0.0100   11.1    98.7  |  0.058  0.940  (0.770) |  0.011  0.985  |  0.031  0.973  |  0 hr 52 min 
0.0100   11.2    99.6  |  0.070  0.938  (0.750) |  0.009  0.987  |  0.032  0.936  |  0 hr 53 min 
0.0100   11.3   100.4  |  0.066  0.943  (0.773) |  0.016  0.976  |  0.016  0.975  |  0 hr 53 min 
0.0100   11.4   101.3  |  0.061  0.947  (0.783) |  0.013  0.981  |  0.008  0.992  |  0 hr 54 min 
0.0100   11.5   102.2  |  0.057  0.945  (0.769) |  0.013  0.979  |  0.015  0.970  |  0 hr 54 min 
0.0100   11.6   103.1  |  0.072  0.936  (0.754) |  0.010  0.985  |  0.011  0.984  |  0 hr 55 min 
0.0100   11.7   104.0  |  0.064  0.946  (0.764) |  0.013  0.981  |  0.007  0.992  |  0 hr 55 min 
0.0100   11.8   104.9  |  0.074  0.945  (0.780) |  0.013  0.983  |  0.008  0.992  |  0 hr 56 min 
0.0100   11.9   105.8  |  0.054  0.949  (0.781) |  0.012  0.983  |  0.011  0.984  |  0 hr 56 min 
0.0100   12.0   106.7  |  0.055  0.934  (0.744) |  0.015  0.978  |  0.012  0.987  |  0 hr 57 min 
0.0100   12.1   107.6  |  0.054  0.939  (0.751) |  0.015  0.980  |  0.010  0.984  |  0 hr 57 min 
0.0100   12.2   108.4  |  0.053  0.943  (0.779) |  0.015  0.980  |  0.038  0.956  |  0 hr 58 min 
0.0100   12.3   109.3  |  0.051  0.943  (0.761) |  0.013  0.981  |  0.016  0.972  |  0 hr 58 min 
0.0100   12.4   110.2  |  0.060  0.944  (0.756) |  0.015  0.980  |  0.010  0.988  |  0 hr 59 min 
0.0100   12.5   111.1  |  0.059  0.944  (0.768) |  0.010  0.985  |  0.007  0.992  |  0 hr 59 min 
0.0100   12.6   112.0  |  0.067  0.937  (0.756) |  0.010  0.985  |  0.011  0.986  |  1 hr 00 min 
0.0100   12.7   112.9  |  0.056  0.945  (0.785) |  0.013  0.982  |  0.008  0.988  |  1 hr 00 min 
0.0100   12.8   113.8  |  0.057  0.945  (0.767) |  0.013  0.981  |  0.007  0.990  |  1 hr 00 min 
0.0100   12.9   114.7  |  0.055  0.941  (0.766) |  0.019  0.973  |  0.014  0.983  |  1 hr 01 min 
0.0100   13.0   115.6  |  0.065  0.934  (0.754) |  0.012  0.984  |  0.015  0.985  |  1 hr 01 min 
0.0100   13.1   116.4  |  0.059  0.941  (0.785) |  0.013  0.981  |  0.015  0.978  |  1 hr 02 min 
0.0100   13.2   117.3  |  0.054  0.944  (0.778) |  0.011  0.985  |  0.007  0.991  |  1 hr 02 min 
0.0100   13.3   118.2  |  0.058  0.944  (0.766) |  0.011  0.983  |  0.010  0.986  |  1 hr 03 min 
0.0100   13.4   119.1  |  0.055  0.945  (0.775) |  0.013  0.982  |  0.013  0.981  |  1 hr 03 min 
