
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100    8.7    77.3  |  0.042  0.959  (0.774) |  0.010  0.985  |  0.013  0.980  |  0 hr 44 min 
0.0100    8.8    78.2  |  0.039  0.957  (0.760) |  0.018  0.977  |  0.016  0.976  |  0 hr 45 min 
0.0100    8.9    79.1  |  0.044  0.958  (0.761) |  0.011  0.985  |  0.010  0.986  |  0 hr 45 min 
0.0100    9.0    80.0  |  0.047  0.960  (0.775) |  0.010  0.986  |  0.034  0.957  |  0 hr 46 min 
0.0100    9.1    80.9  |  0.053  0.959  (0.733) |  0.014  0.980  |  0.013  0.984  |  0 hr 46 min 
0.0100    9.2    81.8  |  0.053  0.957  (0.755) |  0.010  0.986  |  0.006  0.992  |  0 hr 47 min 
0.0100    9.3    82.7  |  0.047  0.953  (0.753) |  0.012  0.984  |  0.011  0.984  |  0 hr 47 min 
0.0100    9.4    83.6  |  0.046  0.958  (0.775) |  0.008  0.987  |  0.008  0.990  |  0 hr 48 min 
0.0100    9.5    84.4  |  0.041  0.957  (0.766) |  0.016  0.981  |  0.014  0.982  |  0 hr 48 min 
0.0100    9.6    85.3  |  0.042  0.957  (0.753) |  0.013  0.984  |  0.008  0.988  |  0 hr 49 min 
0.0100    9.7    86.2  |  0.045  0.956  (0.759) |  0.009  0.987  |  0.008  0.988  |  0 hr 49 min 
0.0100    9.8    87.1  |  0.047  0.955  (0.753) |  0.008  0.989  |  0.013  0.978  |  0 hr 50 min 
0.0100    9.9    88.0  |  0.042  0.952  (0.758) |  0.010  0.985  |  0.010  0.985  |  0 hr 50 min 
0.0100   10.0    88.9  |  0.084  0.913  (0.585) |  0.011  0.985  |  0.015  0.977  |  0 hr 51 min 
0.0100   10.1    89.8  |  0.052  0.951  (0.753) |  0.009  0.988  |  0.009  0.987  |  0 hr 51 min 
0.0100   10.2    90.7  |  0.037  0.957  (0.767) |  0.020  0.970  |  0.011  0.984  |  0 hr 52 min 
0.0100   10.3    91.6  |  0.044  0.955  (0.757) |  0.010  0.986  |  0.006  0.993  |  0 hr 52 min 
0.0100   10.4    92.4  |  0.039  0.959  (0.780) |  0.010  0.986  |  0.008  0.987  |  0 hr 53 min 
0.0100   10.5    93.3  |  0.045  0.960  (0.780) |  0.009  0.987  |  0.008  0.988  |  0 hr 53 min 
0.0100   10.6    94.2  |  0.046  0.960  (0.770) |  0.008  0.989  |  0.010  0.984  |  0 hr 54 min 
0.0100   10.7    95.1  |  0.046  0.956  (0.770) |  0.008  0.989  |  0.008  0.987  |  0 hr 54 min 
0.0100   10.8    96.0  |  0.047  0.958  (0.774) |  0.008  0.988  |  0.006  0.991  |  0 hr 55 min 
0.0100   10.9    96.9  |  0.039  0.962  (0.766) |  0.012  0.983  |  0.007  0.989  |  0 hr 55 min 
0.0100   11.0    97.8  |  0.042  0.959  (0.774) |  0.013  0.980  |  0.007  0.991  |  0 hr 56 min 
0.0100   11.1    98.7  |  0.049  0.959  (0.768) |  0.009  0.986  |  0.012  0.984  |  0 hr 56 min 
0.0100   11.2    99.6  |  0.050  0.957  (0.768) |  0.007  0.989  |  0.010  0.983  |  0 hr 57 min 
0.0100   11.3   100.4  |  0.048  0.952  (0.754) |  0.009  0.984  |  0.015  0.981  |  0 hr 57 min 
0.0100   11.4   101.3  |  0.067  0.939  (0.704) |  0.008  0.989  |  0.016  0.974  |  0 hr 58 min 
0.0100   11.5   102.2  |  0.050  0.956  (0.769) |  0.011  0.984  |  0.008  0.990  |  0 hr 59 min 
0.0100   11.6   103.1  |  0.047  0.953  (0.759) |  0.008  0.989  |  0.008  0.988  |  0 hr 59 min 
0.0100   11.7   104.0  |  0.052  0.957  (0.770) |  0.010  0.986  |  0.005  0.993  |  1 hr 00 min 
0.0100   11.8   104.9  |  0.051  0.957  (0.751) |  0.013  0.982  |  0.006  0.991  |  1 hr 00 min 
0.0100   11.9   105.8  |  0.053  0.952  (0.763) |  0.009  0.987  |  0.009  0.987  |  1 hr 01 min 
0.0100   12.0   106.7  |  0.049  0.957  (0.774) |  0.010  0.987  |  0.007  0.989  |  1 hr 01 min 
0.0100   12.1   107.6  |  0.050  0.957  (0.767) |  0.008  0.988  |  0.007  0.989  |  1 hr 02 min 
0.0100   12.2   108.4  |  0.049  0.952  (0.759) |  0.009  0.988  |  0.008  0.989  |  1 hr 02 min 
0.0100   12.3   109.3  |  0.045  0.957  (0.761) |  0.011  0.984  |  0.007  0.990  |  1 hr 03 min 
0.0100   12.4   110.2  |  0.048  0.951  (0.755) |  0.007  0.989  |  0.007  0.991  |  1 hr 03 min 
0.0100   12.5   111.1  |  0.043  0.958  (0.772) |  0.011  0.984  |  0.009  0.987  |  1 hr 04 min 
0.0100   12.6   112.0  |  0.053  0.959  (0.773) |  0.010  0.986  |  0.011  0.988  |  1 hr 04 min 
0.0100   12.7   112.9  |  0.052  0.958  (0.769) |  0.008  0.988  |  0.004  0.995  |  1 hr 05 min 
0.0100   12.8   113.8  |  0.051  0.956  (0.775) |  0.008  0.988  |  0.009  0.989  |  1 hr 05 min 
0.0100   12.9   114.7  |  0.054  0.958  (0.770) |  0.009  0.986  |  0.008  0.988  |  1 hr 06 min 
